base_gen_project,retrofit_gen_project
Shanxi-Coal_600_DRY-11435,Shanxi-Coal_600_DRY-11435_H2
Shanxi-Coal_600_RC-11361,Shanxi-Coal_600_RC-11361_H2
Shanxi-Coal_600_RC-11377,Shanxi-Coal_600_RC-11377_H2
Shanxi-Coal_600_RC-11393,Shanxi-Coal_600_RC-11393_H2
Shanxi-Coal_600_RC-11409,Shanxi-Coal_600_RC-11409_H2
Shanxi-Coal_600_RC-11425,Shanxi-Coal_600_RC-11425_H2
Shanxi-Coal_IGCC_RC-11365,Shanxi-Coal_IGCC_RC-11365_H2
Shanxi-Coal_IGCC_RC-11381,Shanxi-Coal_IGCC_RC-11381_H2
Shanxi-Coal_IGCC_RC-11397,Shanxi-Coal_IGCC_RC-11397_H2
Shanxi-Coal_IGCC_RC-11413,Shanxi-Coal_IGCC_RC-11413_H2
Shanxi-Coal_IGCC_RC-11429,Shanxi-Coal_IGCC_RC-11429_H2
Shanxi-Coal_Small_DRY-ep-225,Shanxi-Coal_Small_DRY-ep-225_H2
Shanxi-Coal_Small_DRY-ep-295,Shanxi-Coal_Small_DRY-ep-295_H2
Shanxi-Coal_Small_DRY-ep-342,Shanxi-Coal_Small_DRY-ep-342_H2
Shanxi-Coal_Small_DRY-ep-343,Shanxi-Coal_Small_DRY-ep-343_H2
Shanxi-Coal_Small_RC-ep-184,Shanxi-Coal_Small_RC-ep-184_H2
Shanxi-Coal_Small_RC-ep-189,Shanxi-Coal_Small_RC-ep-189_H2
Shanxi-Coal_Small_RC-ep-224,Shanxi-Coal_Small_RC-ep-224_H2
Shanxi-Coal_Small_RC-ep-349,Shanxi-Coal_Small_RC-ep-349_H2
Shanxi-Coal_Small_RC-ep-350,Shanxi-Coal_Small_RC-ep-350_H2
Shanxi-EP_Coal_1000_DRY-ep-3015,Shanxi-EP_Coal_1000_DRY-ep-3015_H2
Shanxi-EP_Coal_1000_DRY-ep-3016,Shanxi-EP_Coal_1000_DRY-ep-3016_H2
Shanxi-EP_Coal_1000_DRY-ep-3017,Shanxi-EP_Coal_1000_DRY-ep-3017_H2
Shanxi-EP_Coal_1000_DRY-ep-3018,Shanxi-EP_Coal_1000_DRY-ep-3018_H2
Shanxi-EP_Coal_1000_DRY-ep-3019,Shanxi-EP_Coal_1000_DRY-ep-3019_H2
Shanxi-EP_Coal_1000_DRY-ep-3020,Shanxi-EP_Coal_1000_DRY-ep-3020_H2
Shanxi-EP_Coal_1000_DRY-ep-3021,Shanxi-EP_Coal_1000_DRY-ep-3021_H2
Shanxi-EP_Coal_1000_DRY-ep-3022,Shanxi-EP_Coal_1000_DRY-ep-3022_H2
Shanxi-EP_Coal_1000_DRY-ep-3023,Shanxi-EP_Coal_1000_DRY-ep-3023_H2
Shanxi-EP_Coal_1000_DRY-ep-3024,Shanxi-EP_Coal_1000_DRY-ep-3024_H2
Shanxi-EP_Coal_1000_DRY-ep-3025,Shanxi-EP_Coal_1000_DRY-ep-3025_H2
Shanxi-EP_Coal_1000_DRY-ep-3026,Shanxi-EP_Coal_1000_DRY-ep-3026_H2
Shanxi-EP_Coal_1000_DRY-ep-3027,Shanxi-EP_Coal_1000_DRY-ep-3027_H2
Shanxi-EP_Coal_1000_DRY-ep-3028,Shanxi-EP_Coal_1000_DRY-ep-3028_H2
