GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend
Shanxi-Battery_Storage-11185,new.11185,Battery_Storage,Storage,Shanxi,30,False,False,False,True,True,.,0.0,3968.771448181194,0.0055,0.02,.,.,False,0.767,0.0,False,6.0,1
Shanxi-Central_PV-510,new.510,Central_PV,Solar,Shanxi,30,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,137800.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV-511,new.511,Central_PV,Solar,Shanxi,30,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,137800.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV-512,new.512,Central_PV,Solar,Shanxi,30,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,137800.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV-513,new.513,Central_PV,Solar,Shanxi,30,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,137800.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV-514,new.514,Central_PV,Solar,Shanxi,30,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,137800.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50006,existing.50006,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,15.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50045,existing.50045,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,20.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50075,existing.50075,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,409.0,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50104,existing.50104,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,689.9,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50135,existing.50135,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,1834.4,.,False,.,0.0,False,.,1
Shanxi-Central_PV_EP-ep-50165,existing.50165,Central_PV_EP,Solar,Shanxi,30,True,False,False,True,False,.,0.0,0.0,0.0,0.02,2935.5,.,False,.,0.0,False,.,1
Shanxi-Coal_1000_DRY-11369,new.11369,Coal_1000_DRY,Coal,Shanxi,40,False,True,False,False,False,8.3,6.61461908030199,396.8771448181194,0.32,0.05,.,.,False,.,0.4,False,.,1
