GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Shanxi-EP_Coal_1000_DRY-ep-3026,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3027,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3027,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3028,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3028,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3029,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3029,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3030,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3030,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3031,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3031,1.0,7.83
Shanxi-EP_Coal_1000_DRY-ep-3032,0.4,8.41725
Shanxi-EP_Coal_1000_DRY-ep-3032,1.0,7.83
Shanxi-EP_Coal_300_DRY-ep-226,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-226,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-227,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-227,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-228,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-228,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-229,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-229,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-232,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-232,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-233,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-233,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-240,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-240,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-241,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-241,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-242,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-242,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-243,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-243,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-244,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-244,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-245,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-245,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-246,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-246,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-247,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-247,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-248,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-248,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-249,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-249,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-250,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-250,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-251,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-251,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-252,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-252,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-253,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-253,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-258,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-258,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-259,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-259,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-260,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-260,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-261,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-261,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-262,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-262,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-263,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-263,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-264,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-264,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-265,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-265,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-266,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-266,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-267,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-267,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-270,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-270,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-271,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-271,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-272,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-272,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-273,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-273,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-274,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-274,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-275,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-275,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-276,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-276,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-277,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-277,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-278,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-278,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-279,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-279,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-280,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-280,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-281,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-281,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-282,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-282,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-283,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-283,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-284,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-284,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-285,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-285,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-286,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-286,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-287,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-287,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-288,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-288,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-289,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-289,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-290,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-290,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-293,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-293,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-294,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-294,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-3019,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-3019,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-3020,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-3020,1.0,8.8
Shanxi-EP_Coal_300_DRY-ep-3021,0.4,9.46
Shanxi-EP_Coal_300_DRY-ep-3021,1.0,8.8
Shanxi-EP_Coal_300_OT-ep-291,0.4,9.16975
Shanxi-EP_Coal_300_OT-ep-291,1.0,8.53
Shanxi-EP_Coal_300_OT-ep-292,0.4,9.16975
Shanxi-EP_Coal_300_OT-ep-292,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-230,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-230,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-231,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-231,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-234,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-234,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-235,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-235,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-236,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-236,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-237,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-237,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-238,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-238,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-239,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-239,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-254,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-254,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-255,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-255,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-256,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-256,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-257,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-257,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-268,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-268,1.0,8.53
Shanxi-EP_Coal_300_RC-ep-269,0.4,9.16975
Shanxi-EP_Coal_300_RC-ep-269,1.0,8.53
Shanxi-EP_Coal_600_DRY-ep-185,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-185,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-186,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-186,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-187,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-187,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-188,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-188,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-190,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-190,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-191,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-191,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-192,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-192,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-193,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-193,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-194,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-194,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-195,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-195,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-196,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-196,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-197,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-197,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-200,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-200,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-201,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-201,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-202,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-202,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-203,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-203,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-206,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-206,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-207,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-207,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-208,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-208,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-209,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-209,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-212,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-212,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-213,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-213,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-214,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-214,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-215,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-215,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-216,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-216,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-217,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-217,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-218,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-218,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-219,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-219,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-3022,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-3022,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-3023,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-3023,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-3024,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-3024,1.0,8.26
Shanxi-EP_Coal_600_DRY-ep-3025,0.4,8.8795
Shanxi-EP_Coal_600_DRY-ep-3025,1.0,8.26
Shanxi-EP_Coal_600_RC-ep-198,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-198,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-199,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-199,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-204,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-204,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-205,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-205,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-210,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-210,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-211,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-211,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-220,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-220,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-221,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-221,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-222,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-222,1.0,7.93
Shanxi-EP_Coal_600_RC-ep-223,0.4,8.52475
Shanxi-EP_Coal_600_RC-ep-223,1.0,7.93
